dates,number_of_marriage
2020-07-11,13
2020-03-20,9
2021-04-06,9
2024-10-18,11
2022-01-06,7
2020-02-21,10
2021-06-22,7
2020-06-30,8
2023-10-07,6
2019-02-19,6
2024-09-20,8
2024-04-30,10
2020-01-25,12
2024-04-10,13
2019-01-17,11
2021-09-17,7
2019-02-22,5
2021-11-03,11
2022-11-18,10
2020-01-03,8
2024-07-25,15
2019-02-06,10
2020-07-15,6
2021-03-30,9
2023-05-09,5
2022-10-09,5
2024-06-05,9
2019-02-05,9
2019-11-21,11
2023-07-11,9
2022-01-09,15
2022-10-22,13
2020-05-05,10
2020-11-24,6
2019-11-09,18
2021-01-30,9
2019-08-16,9
2022-01-22,11
2021-05-28,10
2022-01-02,10
2024-10-21,15
2019-01-28,13
2022-07-23,11
2021-04-25,15
2021-05-11,7
2020-08-27,12
2022-04-30,7
2020-12-17,15
2020-06-24,10
2021-10-01,10
2020-01-23,8
2019-04-23,11
2021-05-17,8
2019-04-08,15
2023-02-15,10
2024-03-19,10
2020-08-30,14
2020-01-16,12
2022-06-23,12
2020-12-09,6
2022-05-09,8
2023-06-14,10
2021-04-19,15
2021-08-11,13
2022-01-31,13
2022-05-06,2
2022-12-25,14
2020-05-09,10
2022-03-01,7
2023-12-31,8
2023-03-30,10
2020-08-13,12
2023-07-31,5
2023-10-26,10
2022-06-13,14
2024-02-10,12
2023-10-04,16
2022-02-03,9
2023-05-20,13
2020-11-09,9
2019-12-10,15
2020-06-15,12
2023-05-21,12
2023-09-17,9
2021-03-04,13
2022-05-18,9
2021-06-28,13
2024-08-29,8
2024-02-03,9
2021-10-10,12
2022-07-21,8
2023-12-02,8
2021-08-09,10
2023-05-22,6
2023-02-17,6
2019-05-18,17
2019-11-24,10
2019-12-23,6
2024-04-30,10
2022-05-09,9
